drug_id,drug_name,standardized_ingredient,drug_class
1,calcium lactate,calcium lactate,Calcium
2,pralsetinib,pralsetinib,Other protein kinase inhibitors
3,tetraferric tricitrate decahydrate,tetraferric tricitrate decahydrate,UNKNOWN_CLASS
4,pirfenidone,pirfenidone,Other immunosuppressants
5,apraclonidine ophthalmic,apraclonidine,Sympathomimetics in glaucoma therapy
6,olutasidenib,olutasidenib,Isocitrate dehydrogenase (IDH) inhibitors
7,paclitaxel,paclitaxel,Taxanes
8,methylprednisolone,methylprednisolone,"Corticosteroids, potent (group III)"
9,ketorolac,ketorolac,Sympathomimetics excl. antiglaucoma preparations
10,doxazosin,doxazosin,Alpha-adrenoreceptor antagonists
11,pegaspargase,pegaspargase,Other antineoplastic agents
12,sotorasib,sotorasib,Other antineoplastic agents
13,belladonna,"belladonna extract, USP",Cholinergic Muscarinic Antagonists
14,maraviroc,maraviroc,Other antivirals
15,clonidine,clonidine,Imidazoline receptor agonists
16,droperidol,droperidol,Butyrophenone derivatives
17,risedronic acid,risedronic acid,Bisphosphonates
18,brincidofovir,brincidofovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
19,regadenoson,regadenoson,Other cardiac preparations
20,acetaminophen,acetaminophen,Anilides
21,protriptyline,protriptyline,Non-selective monoamine reuptake inhibitors
22,irbesartan,irbesartan,"Angiotensin II receptor blockers (ARBs), plain"
23,lomitapide,lomitapide,Other lipid modifying agents
24,iron,iron,Iron
25,norethisterone,norethindrone,"Progestogens and estrogens, sequential preparations"
26,ferrous sulfate anhydrous,"ferrous sulfate,dried","Iron bivalent, oral preparations"
27,nintedanib,nintedanib,Other protein kinase inhibitors
28,dicyclomine,dicyclomine,"Synthetic anticholinergics, esters with tertiary amino group"
29,silodosin,silodosin,Alpha-adrenoreceptor antagonists
30,tenofovir disoproxil,tenofovir disoproxil,Nucleoside and nucleotide reverse transcriptase inhibitors
31,mesoridazine,mesoridazine,Phenothiazines with piperidine structure
32,pramlintide,pramlintide,"Other blood glucose lowering drugs, excl. insulins"
33,fluvastatin,fluvastatin,HMG CoA reductase inhibitors
