drug_id,drug_name,standardized_ingredient,drug_class
1,rosuvastatin calcium,rosuvastatin calcium,HMG-CoA Reductase Inhibitor
2,hydromorphone hydrochloride,hydromorphone hydrochloride,Opioid Agonist
3,hydroxyzine hydrochloride,hydroxyzine dihydrochloride,Antihistamine
4,liothyronine sodium,liothyronine sodium,l-Triiodothyronine
5,doxycycline hyclate,doxycycline hyclate,Tetracycline-class Drug
6,phenazopyridine hydrochloride,phenazopyridine hydrochloride,UNKNOWN_CLASS
7,welchol,colesevelam hydrochloride,Bile Acid Sequestrant
8,methylphenidate,methylphenidate hydrochloride,Central Nervous System Stimulant
9,mexiletine hydrochloride,mexiletine hydrochloride,Antiarrhythmic
10,tamsulosin hydrochloride,tamsulosin hydrochloride,alpha-Adrenergic Blocker
11,hyoscyamine sulfate odt,hyoscyamine sulfate,UNKNOWN_CLASS
12,trazodone hydrochloride,trazodone hydrochloride,Serotonin Reuptake Inhibitor
13,lisdexamfetamine dimesylate,lisdexamfetamine dimesylate,Central Nervous System Stimulant
14,atorvastatin calcium,atorvastatin calcium trihydrate,HMG-CoA Reductase Inhibitor
15,vasotec,enalapril maleate,Angiotensin Converting Enzyme Inhibitor
16,amlodipine and valsartan,amlodipine besylate,Angiotensin 2 Receptor Blocker
17,valacyclovir hydrochloride,valacyclovir hydrochloride,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor
18,olmesartan medoxomil,olmesartan medoxomil,Angiotensin 2 Receptor Blocker
19,metformin hcl,metformin hydrochloride,Biguanide
20,alecensa,alectinib hydrochloride,Kinase Inhibitor
21,meclizine hydrochloride,meclizine hydrochloride,Antiemetic
22,cetirizine hydrochloride,cetirizine hydrochloride,Histamine-1 Receptor Antagonist
23,venlafaxine hydrochloride,venlafaxine hydrochloride,Serotonin and Norepinephrine Reuptake Inhibitor
24,metoprolol tartrate,metoprolol tartrate,beta-Adrenergic Blocker
25,quinine sulfate,quinine sulfate,Antimalarial
26,carvedilol phosphate,carvedilol phosphate,alpha-Adrenergic Blocker
27,rivastigmine tartrate,rivastigmine tartrate,Cholinesterase Inhibitor
28,doxepin hydrochloride,doxepin hydrochloride,Tricyclic Antidepressant
29,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,Benzodiazepine
30,metoprolol succinate,metoprolol succinate,beta-Adrenergic Blocker
31,parnate,tranylcypromine sulfate,Monoamine Oxidase Inhibitor
32,doxazosin mesylate,doxazosin mesylate,alpha-Adrenergic Blocker
33,desmopressin acetate,desmopressin acetate,Factor VIII Activator
34,propafenone hydrochloride,propafenone hydrochloride,Antiarrhythmic
35,minocycline hydrochloride,minocycline hydrochloride,Tetracycline-class Drug
36,guanfacine,guanfacine hydrochloride,Central alpha-2 Adrenergic Agonist
37,pitavastatin,pitavastatin calcium,HMG-CoA Reductase Inhibitor
