drug_name,food_name,severity,description,source
Calcium lactate,spinach,Moderate,"Administration with food may increase the absorption of calcium.  However, foods high in oxalic acid (spinach or rhubarb), or phytic acid (bran and whole grains) may decrease calcium absorption.","Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Canadian Pharmacists Association ""e-CPS.  http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink""   (2006):|Cerner Multum, Inc. ""Australian Product Information."" O 0|Agencia Espa?ola de Medicamentos y Productos Sanitarios Healthcare ""Centro de informaci��n online de medicamentos de la AEMPS - CIMA.  https://cima.aemps.es/cima/publico/home.html""   (2008):|Mangels AR ""Bone nutrients for vegetarians."" Am J Clin Nutr 100 (2014):  epub|Davies NT ""Anti-nutrient factors affecting mineral utilization."" Proc Nutr Soc 38 (1979):  121-8"
Calcium lactate,rhubarb,Moderate,"Administration with food may increase the absorption of calcium.  However, foods high in oxalic acid (spinach or rhubarb), or phytic acid (bran and whole grains) may decrease calcium absorption.","Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Canadian Pharmacists Association ""e-CPS.  http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink""   (2006):|Cerner Multum, Inc. ""Australian Product Information."" O 0|Agencia Espa?ola de Medicamentos y Productos Sanitarios Healthcare ""Centro de informaci��n online de medicamentos de la AEMPS - CIMA.  https://cima.aemps.es/cima/publico/home.html""   (2008):|Mangels AR ""Bone nutrients for vegetarians."" Am J Clin Nutr 100 (2014):  epub|Davies NT ""Anti-nutrient factors affecting mineral utilization."" Proc Nutr Soc 38 (1979):  121-8"
Calcium lactate,bran,Moderate,"Administration with food may increase the absorption of calcium.  However, foods high in oxalic acid (spinach or rhubarb), or phytic acid (bran and whole grains) may decrease calcium absorption.","Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Canadian Pharmacists Association ""e-CPS.  http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink""   (2006):|Cerner Multum, Inc. ""Australian Product Information."" O 0|Agencia Espa?ola de Medicamentos y Productos Sanitarios Healthcare ""Centro de informaci��n online de medicamentos de la AEMPS - CIMA.  https://cima.aemps.es/cima/publico/home.html""   (2008):|Mangels AR ""Bone nutrients for vegetarians."" Am J Clin Nutr 100 (2014):  epub|Davies NT ""Anti-nutrient factors affecting mineral utilization."" Proc Nutr Soc 38 (1979):  121-8"
Calcium lactate,grain,Moderate,"Administration with food may increase the absorption of calcium.  However, foods high in oxalic acid (spinach or rhubarb), or phytic acid (bran and whole grains) may decrease calcium absorption.","Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Canadian Pharmacists Association ""e-CPS.  http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink""   (2006):|Cerner Multum, Inc. ""Australian Product Information."" O 0|Agencia Espa?ola de Medicamentos y Productos Sanitarios Healthcare ""Centro de informaci��n online de medicamentos de la AEMPS - CIMA.  https://cima.aemps.es/cima/publico/home.html""   (2008):|Mangels AR ""Bone nutrients for vegetarians."" Am J Clin Nutr 100 (2014):  epub|Davies NT ""Anti-nutrient factors affecting mineral utilization."" Proc Nutr Soc 38 (1979):  121-8"
Pralsetinib,high-fat foods,Major,"Food significantly increases the oral bioavailability of pralsetinib.  According to the product labeling, administration of pralsetinib with a high-fat meal (approximately 800 to 1000 calories; 50% to 60% from fat) increased mean pralsetinib peak plasma concentration (Cmax) and systemic exposure (AUC) by 104% and 122%, respectively.  The median time to maximum concentration (Tmax) was delayed from 4 to 8.5 hours.","""Product Information. Gavreto (pralsetinib)."" Blueprint Medicines Corporation  (2020):"
Pralsetinib,grapefruit juice,Major,"Grapefruit juice may increase the plasma concentrations of pralsetinib. The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit. In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands. Certain preparations of grapefruit juice (e.g., high dose, double strength) have sometimes demonstrated potent inhibition of CYP450 3A4, while other preparations (e.g., low dose, single strength) have typically demonstrated moderate inhibition. Increased exposure to pralsetinib may increase the risk of adverse effects such as musculoskeletal toxicity, fatigue, constipation, hypertension, and pneumonia.","""Product Information. Gavreto (pralsetinib)."" Blueprint Medicines Corporation  (2020):"
Tetraferric tricitrate decahydrate,high-fat foods,Moderate,"Consumption of high-fat food can limit the secretion of gastric acid, which is unfavorable to the absorption of iron","""Product Information. Feosol (ferrous sulfate)."" SmithKline Beecham|""Product Information. Accrufer (ferric maltol)."" Shield Therapeutics  (2021):"
Pirfenidone,grapefruit juice,Moderate,"Food significantly slows the rate but only modestly reduces the extent of absorption of pirfenidone.  In healthy, older adult volunteers aged 50 to 66 years, administration of a single 801 mg oral dose of pirfenidone in the fed state resulted in an approximately 50% reduction in peak plasma concentration (Cmax) and a 15% to 20% reduction in systemic exposure (AUC) compared to administration in the fasted state.  Median time to reach peak concentration (Tmax) increased from 0.5 hours to 3 hours with food.  Less nausea and dizziness were observed in fed subjects compared to fasted subjects.","Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|""Product Information. Esbriet (pirfenidone)."" Intermune Inc  (2013):"
Apraclonidine (ophthalmic),alcohol,Moderate,"Topically administered alpha-2 adrenergic receptor agonists such as apraclonidine and brimonidine are systemically absorbed, with the potential for producing rare but clinically significant systemic effects.  Although the interaction has not been specifically studied, the possibility of an additive or potentiating effect with central nervous system (CNS) depressants such as alcohol, barbiturates, opiates, anxiolytics, sedatives, and anesthetics should be considered.  Additive hypotensive effects and orthostasis may also occur with some CNS depressants and other agents that have these effects, particularly during initial dosing and/or parenteral administration.","""Product Information. Iopidine (apraclonidine ophthalmic)."" Alcon Laboratories Inc|""Product Information. Alphagan (brimonidine ophthalmic)."" Allergan Inc  (2001):|Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Pekdemir M, Yanturali S, Karakus G ""More than just an ocular solution."" Emerg Med J 22 (2005):  753-4|""Product Information. Mirvaso (brimonidine topical)."" Galderma Laboratories Inc  (2013):"
Olutasidenib,high-fat foods,Moderate,"Coadministration with a high-fat meal may increase the plasma concentrations of olutasidenib.  According to the product labeling, administration of a single 150 mg dose with a high-fat meal (approximately 800 to 1000 calories, with approximately 50% of those calories from fat) increased olutasidenib peak plasma concentration (Cmax) and systemic exposure (AUC) by 191% and 83%, respectively, in healthy subjects.","""Product Information. Rezlidhia (olutasidenib)."" Rigel Pharmaceuticals  (2022):"
